,Fossil fuel and cement production emissions by fuel type,,,,,,,
,"All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664",,,,,,,
,1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2,,,,,,,
,Methods: Full details of the method are described in Friedlingstein et al (2022b) and Andrew and Peters (2021). Full country and fuel data can be found at https://zenodo.org/record/7215364#.Y1JIIHbRZmM,,,,,,,
,The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level. ,,,,,,,
,Cite as: Friedlingstein et al (2022b; see summary tab),,,,,,,
,,,,,,,,
MtC/yr,,,,,,,,
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1976,4910.45,1709.60,2331.19,651.43,96.66,107.91,13.65,1.19
1977,5049.90,1751.56,2413.23,666.23,101.22,104.11,13.56,1.20
1978,5206.66,1782.69,2499.76,696.06,107.72,106.48,13.94,1.21
1979,5354.38,1866.89,2531.85,733.90,109.14,98.29,14.32,1.23
1980,5322.40,1917.07,2443.17,752.76,109.89,86.36,13.16,1.20
1981,5195.45,1911.81,2333.60,762.65,109.92,64.73,12.74,1.15
1982,5154.06,1945.01,2277.61,745.43,109.43,64.29,12.29,1.12
1983,5187.37,1996.23,2254.59,753.42,111.87,58.09,13.17,1.11
1984,5367.02,2093.01,2273.16,821.62,114.00,50.97,14.26,1.12
1985,5547.35,2242.86,2272.59,851.91,115.39,49.52,15.09,1.14
1986,5629.74,2275.06,2340.70,831.21,120.18,46.31,16.28,1.14
1987,5806.20,2351.90,2362.08,902.10,125.33,44.49,20.31,1.15
1988,6033.79,2431.99,2448.87,945.97,131.99,50.63,24.33,1.18
1989,6116.38,2431.66,2491.83,993.40,134.69,41.12,23.67,1.17
1990,6211.10,2371.36,2524.39,1046.16,134.79,73.11,61.30,1.17
1991,6344.11,2348.26,2653.77,1067.05,138.58,77.23,59.21,1.17
1992,6162.67,2292.31,2518.05,1080.27,144.36,68.36,59.32,1.12
1993,6226.23,2320.13,2519.86,1110.01,150.52,66.61,59.10,1.12
1994,6268.97,2333.14,2528.84,1119.56,160.61,67.70,59.12,1.11
1995,6402.49,2400.10,2555.63,1149.01,169.88,66.85,61.01,1.11
1996,6593.72,2460.64,2631.88,1199.78,173.39,67.46,60.56,1.13
1997,6632.80,2447.47,2671.09,1204.28,180.47,68.45,61.05,1.12
1998,6608.42,2381.55,2697.45,1223.93,179.75,65.57,60.17,1.10
1999,6750.11,2416.81,2759.94,1261.41,188.59,63.52,59.83,1.11
2000,6946.95,2511.77,2811.71,1291.29,197.03,76.13,59.02,1.13
2001,7005.47,2526.00,2835.88,1302.83,205.88,76.73,58.15,1.12
2002,7172.77,2641.64,2834.57,1338.93,217.26,81.48,58.88,1.14
2003,7546.83,2870.76,2914.75,1386.86,232.60,81.71,60.15,1.18
2004,7815.69,2967.14,3013.78,1434.82,248.52,88.37,63.06,1.21
2005,8082.59,3150.47,3040.23,1468.52,263.18,94.19,65.99,1.23
2006,8349.65,3326.65,3069.41,1502.95,287.03,94.67,68.95,1.26
2007,8599.01,3487.00,3079.60,1554.08,308.24,99.34,70.76,1.28
2008,8757.05,3600.65,3070.78,1600.52,312.16,102.09,70.85,1.29
2009,8614.64,3552.52,3001.35,1569.86,320.89,103.55,66.48,1.25
2010,9105.99,3800.93,3100.40,1690.87,342.49,104.16,67.13,1.30
2011,9412.39,4022.14,3108.10,1737.69,368.40,101.06,75.01,1.33
2012,9554.11,4072.81,3150.03,1774.18,377.88,103.81,75.41,1.33
2013,9639.52,4100.57,3173.16,1785.62,394.13,105.77,80.27,1.33
2014,9710.03,4107.95,3187.44,1816.20,409.36,105.87,83.21,1.32
2015,9704.85,4014.76,3255.91,1852.64,394.22,104.68,82.63,1.31
2016,9695.47,3919.38,3281.61,1903.29,406.01,103.27,81.91,1.29
2017,9851.73,3959.33,3341.33,1950.03,411.55,106.98,82.50,1.30
2018,10050.90,4024.79,3347.71,2055.09,428.28,112.48,82.55,1.31
2019,10120.79,4019.10,3369.45,2087.21,441.46,119.88,83.69,1.30
2020,9624.48,3868.60,3054.53,2062.31,446.93,111.24,80.87,1.23
2021,10132.06,4088.32,3230.67,2162.07,456.49,113.68,80.83,1.28
