,Fossil CO2 emissions by country (territorial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,0.02,0.08,1.03,,0.05,,,8.17,0.40,0.11,14.94,5.70,2.44,0.02,0.38,0.27,0.02,5.14,20.80,0.01,,0.01,,0.02,0.73,0.00,5.37,,0.11,2.05,,0.00,,42.07,0.03,,,2.31,21.52,2.05,,,,0.08,,0.78,1.53,1.67,0.07,15.79,0.21,0.40,6.00,0.00,0.00,0.09,0.20,2.79,0.07,0.00,,1.87,0.02,0.01,,0.03,1.79,55.25,0.00,,,0.00,0.75,139.38,0.17,1.13,0.03,0.00,0.02,0.17,,0.00,0.07,0.03,0.08,0.36,5.02,0.20,16.68,2.68,0.45,2.65,22.96,0.46,11.31,0.07,27.99,0.05,12.32,0.25,,,0.11,1.06,,1.24,0.41,,0.01,0.04,,1.91,2.02,0.00,0.53,0.08,0.06,1.00,,,0.07,,0.02,,0.06,,8.33,0.08,0.07,,0.70,0.25,0.22,,,0.01,14.00,0.06,2.34,0.05,,0.62,,2.30,,,1.46,,0.14,0.02,0.02,1.24,0.98,0.13,30.60,1.53,0.10,0.04,0.60,1.91,0.01,0.14,0.01,5.30,113.27,0.00,0.00,0.00,0.20,0.00,0.00,1.40,,2.11,0.00,0.04,0.52,5.05,0.60,0.00,0.01,16.66,9.02,0.44,,0.00,0.00,0.06,0.00,7.82,2.79,0.11,1.03,0.60,0.26,,0.01,0.00,0.64,0.33,2.59,1.54,,,0.03,35.94,0.00,136.68,0.14,693.64,0.67,4.69,0.00,10.45,0.40,,0.02,0.64,0.87,1420.76,182.65,1274.55,328.86,348.74,25.91,100.68,5.12,650.52,29.02,744.06,17.37,30.73,35.04,0.00,1638.45
1951,0.03,0.11,1.13,,0.07,,,9.54,0.44,0.18,16.11,6.35,2.65,0.02,0.32,0.33,0.03,5.57,24.41,0.01,,0.02,,0.04,0.69,0.00,5.91,,0.08,2.23,,0.00,,44.40,0.02,,,2.72,27.87,2.23,,,,0.09,,0.74,1.77,2.63,0.08,16.83,0.27,0.48,5.98,0.01,0.00,0.10,0.19,2.88,0.09,0.00,,2.03,0.02,0.01,,0.04,2.18,62.48,0.00,,,0.00,0.81,157.44,0.24,1.25,0.03,0.00,0.02,0.17,,0.00,0.08,0.04,0.10,0.42,6.05,0.18,17.47,2.56,0.66,2.87,1.89,0.80,13.32,0.14,33.69,0.04,13.36,0.38,,,0.03,1.15,,1.34,0.40,,0.01,0.05,,2.07,2.46,0.00,0.50,0.07,0.07,1.42,,,0.07,,0.02,,0.04,,9.52,0.08,0.07,,0.80,0.25,0.25,,,0.01,15.00,0.08,2.23,0.05,,0.46,,2.59,,,1.80,,0.15,0.02,0.01,1.30,0.97,0.13,33.33,1.47,0.11,0.05,0.80,2.07,0.02,0.18,0.01,6.14,122.76,0.00,0.00,0.00,0.31,0.00,0.00,0.00,,2.00,0.00,0.03,0.77,5.39,0.57,0.00,0.01,17.78,9.04,0.42,,0.01,0.00,0.06,0.00,9.13,3.36,0.10,1.34,0.65,0.30,,0.01,0.00,0.69,0.38,2.78,1.67,,,0.04,38.95,0.00,148.81,0.12,714.71,0.72,5.07,0.00,12.93,0.35,,0.01,0.70,0.96,1517.88,181.52,1360.27,339.13,390.24,27.61,117.07,6.72,717.91,7.14,768.67,18.46,35.83,41.81,0.00,1741.21
1952,0.03,0.10,1.06,,0.09,,,9.85,0.47,0.10,16.43,6.02,2.83,0.02,0.35,0.35,0.02,5.97,22.78,0.01,,0.03,,0.02,0.69,0.00,6.81,,0.09,2.57,,0.00,,43.51,0.01,,,2.89,34.93,2.36,,,,0.11,,0.74,1.71,1.52,0.09,17.99,0.24,0.57,6.25,0.01,0.00,0.16,0.24,2.97,0.11,0.00,,2.17,0.03,0.02,,0.04,2.36,62.01,0.00,,,0.00,0.87,166.75,0.24,1.31,0.03,0.00,0.02,0.18,,0.00,0.09,0.04,0.10,0.42,7.43,0.21,18.40,3.47,0.53,2.63,1.12,1.00,13.82,0.15,35.59,0.05,14.31,0.43,,,0.00,1.23,,1.43,0.32,,0.02,0.05,,2.21,2.57,0.00,0.50,0.08,0.08,1.74,,,0.07,,0.03,,0.05,,10.16,0.08,0.07,,0.97,0.29,0.31,,,0.01,14.93,0.13,2.54,0.07,,0.60,,2.64,,,1.91,,0.20,0.02,0.03,1.42,1.11,0.14,34.95,1.46,0.05,0.08,0.94,2.22,0.02,0.19,0.01,7.27,131.46,0.01,0.00,0.00,0.18,0.00,0.00,0.00,,2.01,0.00,0.05,0.94,5.76,0.57,0.00,0.01,19.35,10.26,0.53,,0.01,0.00,0.07,0.00,9.42,3.06,0.13,1.74,0.70,0.35,,0.01,0.00,0.76,0.39,2.86,1.79,,,0.04,41.71,0.00,144.30,0.15,696.29,0.86,5.42,0.00,13.85,0.51,,0.02,0.79,1.08,1523.41,198.63,1353.86,368.18,405.81,30.13,131.34,5.61,740.77,6.43,749.99,19.15,38.61,42.62,0.00,1764.66
1953,0.03,0.11,1.09,,0.07,,,9.59,0.50,0.12,16.22,5.93,3.00,0.02,0.27,0.36,0.03,6.32,22.48,0.01,,0.03,,0.03,0.69,0.00,6.88,,0.09,2.89,,0.00,,43.83,0.01,,,2.84,36.51,2.94,,,,0.12,,0.74,1.69,1.76,0.10,18.65,0.47,0.62,6.32,0.01,0.00,0.17,0.22,2.94,0.11,0.00,,2.30,0.05,0.02,,0.05,2.06,58.61,0.00,,,0.00,0.92,170.17,0.28,1.33,0.03,0.00,0.02,0.19,,0.00,0.12,0.04,0.09,0.47,8.67,0.25,18.75,3.57,0.69,2.60,1.04,1.10,15.28,0.17,39.78,0.06,15.14,0.41,,,0.00,1.30,,1.52,0.34,,0.02,0.07,,2.34,2.36,0.00,0.50,0.07,0.09,1.77,,,0.06,,0.03,,0.05,,10.02,0.08,0.07,,1.14,0.29,0.36,,,0.01,15.08,0.11,2.33,0.08,,0.67,,2.67,,,1.94,,0.20,0.03,0.03,1.50,1.10,0.15,37.99,1.62,0.10,0.06,1.28,2.34,0.02,0.21,0.01,8.36,139.08,0.01,0.00,0.00,0.21,0.00,0.00,0.13,,2.00,0.00,0.05,0.95,5.97,0.57,0.00,0.01,19.38,10.63,0.56,,0.01,0.00,0.09,0.00,8.88,2.82,0.14,1.77,0.74,0.45,,0.01,0.00,0.80,0.38,3.54,1.89,,,0.06,44.13,0.00,147.44,0.14,713.15,0.96,5.73,0.00,13.06,0.48,,0.02,0.86,1.17,1565.04,205.06,1384.77,385.33,413.50,30.58,140.08,5.94,761.93,7.44,767.04,18.71,38.39,44.24,0.00,1814.35
1954,0.03,0.14,1.13,,0.09,,,10.03,0.54,0.24,18.51,6.69,3.27,0.02,0.29,0.37,0.03,6.90,23.40,0.01,,0.02,,0.05,0.82,0.00,8.10,,0.10,3.11,,0.00,,44.48,0.01,,,3.02,43.91,2.63,,,,0.11,,0.88,1.62,3.56,0.12,19.91,1.31,0.77,6.98,0.01,0.00,0.17,0.26,3.18,0.13,0.01,,2.51,0.07,0.02,,0.04,2.50,61.84,0.00,,,0.00,1.01,180.06,0.27,1.39,0.03,0.00,0.02,0.20,,0.00,0.13,0.06,0.10,0.49,9.28,0.21,19.76,4.02,0.83,2.48,0.28,1.18,17.72,0.22,38.90,0.07,16.54,0.46,,,0.38,1.42,,1.66,0.36,,0.03,0.08,,2.56,2.40,0.01,0.60,0.08,0.10,1.91,,,0.08,,0.03,,0.05,,9.90,0.13,0.08,,0.98,0.31,0.40,,,0.01,15.94,0.14,2.47,0.09,,0.70,,2.70,,,1.97,,0.17,0.03,0.05,1.70,1.45,0.21,40.28,1.58,0.17,0.06,1.41,2.56,0.02,0.20,0.01,9.14,151.89,0.00,0.00,0.00,0.42,0.00,0.00,0.34,,2.38,0.00,0.03,1.03,6.37,0.67,0.00,0.01,20.17,10.84,0.49,,0.01,0.00,0.09,0.00,9.41,3.44,0.16,1.77,0.81,0.56,,0.01,0.00,0.77,0.38,3.67,2.06,,,0.06,48.19,0.00,150.93,0.15,679.44,1.02,6.24,0.00,13.97,0.73,,1.22,0.95,1.29,1580.77,227.98,1382.51,426.24,439.80,32.10,152.71,8.08,810.66,8.93,733.85,21.18,41.23,44.40,0.00,1853.16
1955,0.04,0.18,1.26,,0.11,,,10.80,0.61,0.20,19.29,7.93,3.71,0.04,0.38,0.38,0.04,7.82,25.11,0.01,,0.03,,0.04,0.94,0.00,9.29,,0.08,3.30,,0.00,0.03,46.25,0.01,,,3.17,52.00,3.26,,,,0.10,,1.01,1.85,2.94,0.12,20.67,2.00,0.92,7.39,0.01,0.00,0.25,0.33,2.90,0.13,0.01,,2.84,0.06,0.03,,0.05,2.98,65.29,0.00,0.01,,0.00,1.14,197.46,0.32,1.62,0.06,0.00,0.02,0.25,,0.00,0.14,0.07,0.12,0.51,9.74,0.25,21.50,5.69,1.12,3.20,4.32,1.31,20.00,0.27,38.72,0.10,18.76,0.54,,,0.50,1.61,0.01,1.88,0.44,,0.02,0.12,,2.90,2.70,0.01,0.69,0.08,0.11,2.03,,,0.09,,0.03,,0.04,,10.82,0.16,0.09,,0.97,0.37,0.39,,,0.01,16.64,0.19,2.56,0.11,,0.74,,3.12,,,2.03,,0.19,0.04,0.05,1.67,1.81,0.25,42.09,1.76,0.11,0.06,1.76,2.91,0.02,0.23,0.01,10.04,172.23,0.00,0.00,0.00,0.35,0.00,0.00,0.58,,2.73,0.00,0.05,1.11,6.61,0.77,0.00,0.02,22.64,10.99,0.45,,0.01,0.00,0.09,0.00,10.67,3.72,0.45,1.96,0.92,0.65,,0.01,0.00,0.74,0.44,3.72,2.34,,,0.07,54.65,0.00,157.46,0.15,744.68,1.07,7.07,0.00,16.31,0.96,,0.68,1.11,1.52,1718.55,261.84,1493.32,487.07,475.83,35.35,170.53,7.81,882.63,13.72,801.83,22.11,46.42,51.06,0.00,2031.45
1956,0.05,0.23,1.36,,0.14,,,12.09,0.67,0.25,19.93,7.70,4.07,0.04,0.29,0.45,0.04,8.58,26.41,0.01,,0.04,,0.05,1.07,0.00,9.99,,0.08,3.54,,0.00,0.04,51.80,0.01,,,3.23,58.90,3.44,,,,0.13,,1.16,1.59,3.80,0.18,22.18,2.45,0.87,7.20,0.01,0.00,0.27,0.35,2.71,0.14,0.01,,3.12,0.07,0.03,,0.05,3.32,73.35,0.00,0.01,,0.01,1.25,209.11,0.29,1.72,0.04,0.00,0.03,0.27,,0.00,0.15,0.07,0.12,0.58,9.05,0.26,22.29,5.95,1.75,2.98,6.22,1.31,22.78,0.34,43.84,0.12,20.57,0.61,,,0.28,1.76,0.02,2.06,0.51,,0.01,0.09,,3.18,2.83,0.01,0.78,0.09,0.12,2.06,,,0.08,,0.03,,0.06,,11.50,0.19,0.11,,0.96,0.42,0.45,,,0.01,17.76,0.32,2.64,0.10,,0.82,,3.26,,,2.41,,0.17,0.04,0.05,1.72,1.71,0.30,45.42,1.95,0.14,0.06,2.06,3.19,0.02,0.22,0.01,11.13,188.84,0.00,0.00,0.00,0.45,0.00,0.00,0.45,,3.12,0.00,0.05,1.12,7.10,0.88,0.00,0.02,23.82,11.55,0.39,,0.01,0.00,0.09,0.00,11.84,4.66,0.55,2.10,1.01,0.71,,0.01,0.00,0.79,0.43,3.92,2.57,,,0.07,59.91,0.00,156.75,0.18,780.57,1.10,7.78,0.00,17.74,0.79,,0.64,1.22,1.66,1821.79,286.02,1573.99,533.82,509.60,36.91,188.41,8.80,940.37,16.17,843.92,22.97,50.27,54.92,0.00,2162.73
1957,0.08,0.41,1.51,,0.17,,0.01,12.99,0.74,0.17,20.34,7.96,4.46,0.05,0.21,0.46,0.04,9.39,26.33,0.01,,0.04,,0.04,1.16,0.00,9.82,0.00,0.08,3.93,,0.00,0.04,49.89,0.01,,,3.20,69.81,3.73,,,,0.13,,1.25,3.78,2.60,0.22,23.17,3.08,0.91,6.80,0.01,0.00,0.28,0.31,3.25,0.16,0.01,,3.41,0.09,0.03,,0.05,3.34,75.83,0.00,0.01,,0.01,1.37,212.31,0.35,1.86,0.04,0.00,0.03,0.27,,0.00,0.15,0.07,0.16,0.64,10.49,0.26,25.01,6.12,1.63,2.65,5.95,1.41,23.77,0.44,51.33,0.13,22.51,0.62,,,0.60,1.93,0.02,2.25,0.56,,0.02,0.09,,3.48,2.96,0.01,0.85,0.09,0.13,0.96,,,0.09,,0.04,,0.06,,13.45,0.21,0.11,0.00,0.83,0.48,0.57,,,0.02,17.58,0.29,2.81,0.11,,0.87,,3.10,,,2.48,,0.21,0.04,0.06,1.82,1.84,0.27,48.77,2.12,0.09,0.07,2.24,3.49,0.03,0.29,0.02,12.54,206.65,0.01,0.00,0.00,0.31,0.00,0.00,0.57,,3.38,0.00,0.11,0.47,7.41,0.96,0.00,0.02,24.47,13.70,0.63,,0.01,0.00,0.10,0.00,10.60,4.83,0.54,2.23,1.10,0.80,,0.01,0.00,0.70,0.43,4.36,2.82,,,0.08,65.56,0.00,155.76,0.21,773.96,1.21,8.52,0.00,18.99,0.78,,0.81,1.25,1.71,1859.97,313.03,1588.97,584.02,525.79,38.68,213.46,9.70,980.78,16.86,837.35,23.51,52.65,61.05,0.00,2234.05
1958,0.09,0.33,1.42,,0.16,,0.01,12.06,0.79,0.15,21.18,7.67,4.76,0.05,0.35,0.52,0.04,10.02,23.93,0.01,0.03,0.04,,0.03,1.15,0.00,10.66,0.00,0.09,4.26,0.00,0.00,0.05,49.71,0.00,,,3.40,143.18,3.81,,,,0.12,0.14,1.24,4.91,2.28,0.21,25.32,4.27,0.80,7.31,0.01,0.00,0.29,0.36,3.73,0.16,0.01,,3.64,0.09,0.03,,0.05,2.89,72.73,0.01,0.01,,0.01,1.46,206.44,0.37,2.03,0.06,0.00,0.03,0.31,0.05,0.00,0.13,0.07,0.16,0.65,10.71,0.30,26.15,6.06,1.82,2.44,6.89,1.51,23.91,0.37,49.44,0.14,24.03,0.57,,,1.01,2.06,0.02,2.41,0.54,,0.04,0.10,,3.72,2.75,0.01,0.84,0.10,0.11,1.05,,,0.09,,0.04,,0.06,,14.74,0.31,0.11,0.00,0.89,0.50,0.66,,,0.02,18.20,0.20,2.78,0.16,0.01,1.02,,3.05,,,2.79,,0.25,0.04,0.07,2.01,2.06,0.25,48.24,2.06,0.05,0.08,2.46,3.73,0.03,0.32,0.02,13.59,220.57,0.01,0.00,0.00,0.27,0.00,0.00,0.55,0.10,3.34,0.00,0.06,0.63,8.09,0.95,0.00,0.02,26.27,15.25,0.53,,0.01,0.00,0.09,0.00,11.48,4.44,0.59,2.61,1.17,0.82,,0.01,0.00,0.95,0.39,4.38,3.01,,,0.08,69.97,0.00,151.83,0.22,749.76,1.09,9.12,0.00,14.86,1.37,,0.51,1.12,1.53,1844.31,396.33,1555.04,685.61,521.56,40.59,292.35,10.79,991.28,18.33,814.28,24.24,48.79,56.74,0.00,2297.39
1959,0.10,0.39,1.54,,0.17,,0.01,13.36,0.83,0.20,22.85,7.62,5.01,0.07,0.36,0.50,0.04,10.54,24.10,0.01,0.03,0.04,,0.04,1.31,0.00,10.65,0.00,0.09,5.36,0.00,0.01,0.06,50.35,0.00,0.03,0.02,3.47,196.55,4.39,0.00,0.05,,0.11,0.15,1.42,4.28,2.93,0.23,25.35,5.42,0.74,7.11,0.01,0.00,0.30,0.35,3.47,0.16,0.01,,3.83,0.09,0.03,,0.05,3.70,71.59,0.01,0.01,0.01,0.01,1.54,206.28,0.36,2.22,0.06,0.00,0.04,0.34,0.04,0.00,0.15,0.07,0.16,0.74,11.44,0.34,27.69,6.51,2.00,3.36,6.98,1.53,25.68,0.50,52.57,0.18,25.27,0.60,,,1.04,2.17,0.02,2.53,0.67,,0.04,0.12,,3.91,2.84,0.01,0.96,0.10,0.13,0.87,,0.01,0.11,,0.05,0.01,0.06,,15.91,0.37,0.13,0.00,0.92,0.49,0.76,,,0.02,18.32,0.16,2.82,0.13,0.01,0.97,,3.22,,,2.71,,0.27,0.04,0.08,1.97,1.97,0.26,51.76,2.18,0.05,0.08,3.06,3.92,0.03,0.34,0.02,13.82,231.90,0.02,0.00,0.00,0.35,0.00,0.00,0.51,0.11,3.82,0.00,0.06,0.49,8.10,1.08,0.00,0.02,25.78,14.21,0.56,,0.01,0.00,0.10,0.00,11.57,4.53,0.61,3.00,1.23,0.91,,0.02,0.00,0.84,0.43,4.69,3.16,,,0.11,73.56,0.00,149.18,0.19,772.90,1.20,9.59,0.00,17.78,1.80,,0.71,1.25,1.70,1893.58,465.28,1589.74,769.11,529.69,40.37,355.71,11.04,1013.53,19.31,839.24,25.90,53.77,58.23,0.00,2417.09
1960,0.11,0.55,1.68,,0.15,,0.01,13.31,0.86,0.17,24.05,8.40,5.22,0.11,0.16,0.60,0.05,10.98,24.81,0.01,0.04,0.04,,0.04,1.44,0.00,12.79,0.00,0.09,6.08,0.01,0.01,0.06,52.60,0.01,0.02,0.02,3.68,218.01,4.47,0.00,0.06,,0.13,0.13,1.55,3.74,2.52,0.24,27.03,6.49,0.63,8.12,0.01,0.00,0.28,0.48,4.38,0.17,0.01,,3.99,0.10,0.02,,0.05,4.12,80.82,0.01,0.01,0.04,0.01,1.60,222.15,0.40,2.56,0.06,0.01,0.04,0.37,0.11,0.01,0.18,0.08,0.17,0.81,12.37,0.33,30.38,5.84,2.25,3.05,10.20,1.76,29.80,0.40,63.46,0.20,26.32,0.66,0.00,,2.13,2.26,0.02,2.64,0.70,,0.05,0.19,,4.07,3.14,0.01,1.05,0.11,0.12,1.15,,0.03,0.09,,0.05,0.01,0.05,,17.21,0.35,0.14,0.00,0.99,0.51,0.74,,,0.02,20.04,0.24,3.15,0.14,0.01,0.93,,3.57,,,3.26,,0.27,0.05,0.08,2.23,2.27,0.27,54.47,2.24,0.05,0.07,3.42,4.09,0.03,0.34,0.02,14.57,241.44,0.02,0.00,0.00,0.30,0.00,0.00,0.73,0.23,4.18,0.00,0.20,0.38,8.63,1.18,0.00,0.02,26.70,13.34,0.62,,0.01,0.00,0.12,0.01,13.42,5.32,0.88,3.24,1.29,1.01,,0.02,0.00,0.70,0.47,4.58,3.30,,,0.11,76.57,0.00,159.39,0.23,790.75,1.18,10.00,0.00,15.56,2.04,,0.99,1.19,1.62,1993.24,503.91,1676.98,820.17,572.94,42.75,395.37,9.89,1082.01,24.64,860.63,27.51,54.36,64.98,0.00,2562.14
1961,0.13,0.62,1.65,,0.12,,0.01,13.95,0.89,0.18,24.70,8.69,5.38,0.15,0.48,0.63,0.05,11.33,25.30,0.01,0.04,0.05,,0.04,1.51,0.00,13.41,0.00,0.08,7.08,0.03,0.01,0.08,52.95,0.01,0.02,0.01,3.95,155.74,4.97,0.00,0.07,,0.13,0.15,1.62,3.32,2.63,0.24,29.34,7.21,0.64,8.65,0.01,0.00,0.28,0.45,4.66,0.16,0.01,,4.11,0.09,0.03,,0.05,4.07,86.16,0.01,0.02,0.05,0.01,1.66,227.85,0.37,2.68,0.08,0.01,0.05,0.38,0.17,0.01,0.20,0.08,0.20,0.92,13.35,0.30,32.86,7.10,2.38,3.37,9.96,1.93,33.95,0.58,77.18,0.27,27.14,0.65,0.00,,2.72,2.33,0.03,2.72,0.73,,0.04,0.33,,4.20,3.16,0.02,1.10,0.10,0.10,1.28,,0.03,0.08,,0.05,0.01,0.05,,17.81,0.38,0.15,0.00,1.03,0.72,0.71,,,0.02,20.69,0.24,3.21,0.15,0.02,1.12,,3.64,,,3.37,,0.30,0.06,0.10,2.36,2.38,0.28,56.56,2.48,0.04,0.08,3.94,4.22,0.03,0.35,0.02,15.21,248.99,0.02,0.00,0.01,0.31,0.01,0.00,0.97,0.22,4.38,0.00,0.08,0.57,9.37,1.24,0.00,0.02,27.87,14.63,0.64,,0.01,0.00,0.12,0.00,13.32,5.56,0.84,3.42,1.33,1.13,,0.03,0.00,1.25,0.48,4.73,3.41,,,0.11,78.95,0.00,160.65,0.19,787.90,1.12,10.34,0.00,14.16,2.18,,0.73,1.01,1.38,2043.84,454.86,1717.42,781.29,600.13,44.24,354.62,10.46,1121.54,25.79,858.75,28.24,55.07,71.84,0.00,2570.54
1962,0.19,0.67,1.55,,0.32,,0.03,14.64,0.94,0.19,25.88,9.24,5.66,0.20,0.43,0.69,0.07,11.90,26.75,0.02,0.04,0.04,,0.04,1.54,0.00,14.63,0.00,0.10,8.38,0.02,0.01,0.08,56.49,0.00,0.02,0.02,4.56,125.44,5.30,0.00,0.07,,0.15,0.16,1.67,3.86,2.89,0.25,31.27,8.38,0.59,10.07,0.01,0.00,0.34,0.43,5.07,0.18,0.01,,4.32,0.11,0.03,,0.06,4.58,90.86,0.01,0.01,0.02,0.01,1.74,241.04,0.39,2.77,0.07,0.01,0.05,0.38,0.18,0.01,0.19,0.08,0.19,1.00,13.79,0.33,36.18,6.27,2.46,3.58,10.22,2.16,39.92,0.58,79.93,0.29,28.49,0.72,0.00,,3.90,2.44,0.04,2.85,0.78,,0.07,0.29,,4.41,3.15,0.03,1.13,0.11,0.10,1.30,,0.04,0.09,,0.05,0.02,0.07,,17.40,0.54,0.15,0.00,0.84,0.54,0.79,,,0.02,22.73,0.15,3.06,0.18,0.02,1.14,,3.84,,,3.70,,0.32,0.05,0.11,2.72,2.82,0.30,59.12,2.54,0.05,0.08,4.71,4.43,0.03,0.37,0.03,17.42,261.33,0.02,0.00,0.01,0.34,0.01,0.00,1.71,0.22,4.49,0.00,0.09,0.69,9.99,1.27,0.00,0.03,28.84,16.37,0.70,,0.01,0.00,0.14,,13.99,6.58,0.87,3.87,1.39,1.37,,0.02,0.00,1.97,0.49,5.90,3.58,,,0.12,82.84,0.01,161.83,0.21,817.11,1.09,10.89,0.01,14.75,2.55,,1.06,0.98,1.33,2141.29,445.54,1797.11,789.72,642.40,45.42,336.68,12.26,1183.50,29.83,891.08,29.21,58.85,74.48,0.00,2661.32
1963,0.19,0.57,1.48,,0.31,,0.02,13.66,1.00,0.19,27.55,10.08,6.07,0.19,0.33,0.79,0.05,12.76,28.84,0.02,0.03,0.04,,0.04,1.72,0.00,15.14,0.00,0.10,9.38,0.02,0.01,0.11,57.56,0.00,0.02,0.03,4.73,124.67,5.79,0.00,0.06,,0.16,0.17,1.85,3.56,2.77,0.27,32.89,8.96,0.63,11.10,0.02,0.00,0.34,0.49,5.88,0.31,0.01,,4.63,0.11,0.03,,0.07,5.28,92.26,0.01,0.02,0.02,0.01,1.87,258.05,0.47,3.34,0.09,0.00,0.06,0.41,0.19,0.01,0.17,0.07,0.19,1.16,15.35,0.36,38.88,6.21,2.56,3.67,11.27,2.24,44.91,0.65,88.66,0.33,30.54,0.78,0.01,,4.64,2.62,0.04,3.06,0.83,,0.10,0.40,,4.74,3.12,0.03,1.26,0.13,0.09,1.59,,0.05,0.11,,0.06,0.02,0.06,,18.09,0.44,0.17,0.00,1.08,0.45,0.72,,,0.03,24.88,0.17,3.33,0.23,0.02,1.46,,4.08,,,4.26,,0.32,0.07,0.11,2.79,3.13,0.33,63.05,2.73,1.67,0.08,5.75,4.75,0.04,0.42,0.03,18.96,280.27,0.02,0.00,0.01,0.33,0.01,0.00,1.89,0.23,5.00,0.00,0.10,0.90,10.51,1.42,0.00,0.03,29.95,16.03,0.69,,0.01,0.00,0.15,,15.10,7.93,0.98,4.12,1.49,1.52,,0.03,0.00,0.46,0.53,6.18,3.85,,,0.12,88.83,0.01,164.68,0.22,853.30,1.18,11.72,0.01,15.33,2.49,,0.80,0.94,1.28,2261.78,463.65,1891.68,833.75,685.60,48.16,354.78,10.64,1258.02,33.73,929.05,31.18,59.87,77.97,0.00,2803.40
1964,0.23,0.55,1.54,,0.33,,0.03,15.19,1.07,0.18,29.72,10.62,6.46,0.30,0.44,0.81,0.05,13.57,28.26,0.02,0.04,0.06,,0.04,1.95,0.00,15.44,0.00,0.09,11.69,0.03,0.01,0.09,64.84,0.01,0.02,0.03,4.78,125.72,5.92,0.00,0.07,,0.18,0.21,2.10,3.90,2.69,0.27,34.23,9.72,0.54,11.78,0.02,0.00,0.48,0.58,6.96,0.34,0.01,,4.92,0.11,0.03,,0.12,6.23,100.68,0.01,0.02,0.05,0.01,1.99,264.44,0.45,3.60,0.09,0.01,0.06,0.48,0.19,0.02,0.18,0.08,0.20,1.15,17.01,0.36,38.07,6.11,2.47,3.88,12.97,2.49,47.96,1.11,97.95,0.34,32.47,0.77,0.01,,6.91,2.79,0.05,3.26,0.89,,0.13,0.18,,5.04,3.36,0.04,1.42,0.13,0.09,2.02,,0.05,0.14,,0.06,0.03,0.08,,20.25,0.56,0.19,0.00,1.20,0.58,0.78,,0.01,0.04,26.41,0.30,3.57,0.26,0.03,1.98,,4.41,,0.00,4.38,,0.34,0.07,0.12,3.34,3.50,0.40,66.29,3.00,1.71,0.09,6.06,5.06,0.04,0.46,0.03,19.66,298.07,0.01,0.00,0.01,0.32,0.01,0.00,1.92,0.25,5.66,0.00,0.08,0.98,10.94,1.61,0.01,0.04,32.63,17.56,0.62,,0.01,0.01,0.17,0.00,16.48,7.68,1.19,4.61,1.59,2.04,,0.04,0.00,1.03,0.75,7.18,4.10,,,0.13,94.46,0.01,165.90,0.28,890.92,1.24,12.50,0.02,15.43,3.22,,0.99,0.89,1.22,2378.88,491.39,1985.35,884.91,721.40,52.88,372.00,12.44,1320.73,39.51,976.11,33.78,62.80,85.42,0.00,2955.68
1965,0.27,0.59,1.80,,0.32,,0.04,16.05,1.13,0.16,32.98,10.41,6.86,0.36,0.34,0.85,0.06,14.40,28.75,0.02,0.04,0.05,,0.03,2.00,0.00,15.34,0.00,0.09,12.63,0.03,0.01,0.10,68.75,0.01,0.02,0.03,4.84,136.54,6.24,0.00,0.07,,0.23,0.32,2.17,3.98,2.41,0.31,33.35,12.07,0.67,12.09,0.03,0.00,0.42,0.62,7.54,0.28,0.01,,5.22,0.18,0.04,,0.09,6.91,99.21,0.01,0.02,0.06,0.01,2.11,262.04,0.47,4.64,0.09,0.01,0.06,0.54,0.19,0.02,0.29,0.08,0.20,1.31,16.71,0.38,41.95,6.73,5.27,3.74,14.66,3.53,51.73,0.82,105.48,0.39,34.45,0.67,0.00,,9.66,2.96,0.05,3.46,0.90,,0.15,0.28,,5.35,3.33,0.04,1.46,0.15,0.09,2.29,,0.05,0.13,,0.07,0.04,0.08,,20.52,0.53,0.20,0.00,1.16,0.55,0.74,,0.01,0.05,27.40,0.34,3.74,0.21,0.03,3.21,,4.47,,0.01,4.59,,0.42,0.08,0.15,3.26,3.81,0.41,67.41,3.16,1.72,0.09,6.82,5.37,0.06,0.61,0.04,21.46,316.20,0.01,0.00,0.01,0.29,0.01,0.00,1.15,0.46,5.83,0.00,0.08,0.66,10.66,1.65,0.01,0.04,34.97,19.38,0.72,,0.01,0.00,0.22,0.02,17.07,8.28,1.00,4.87,1.69,2.03,,0.04,0.00,1.42,0.67,7.47,4.35,,,0.17,100.19,0.01,169.79,0.32,927.82,1.51,13.28,0.01,16.57,3.59,,1.07,1.07,1.42,2468.01,532.62,2049.73,950.90,730.36,58.35,403.26,12.35,1359.56,47.16,1017.20,37.23,65.52,88.23,0.00,3088.86
